"patch" "rep" "nut" "loss" "ampl"
"158" 2 1 17 0.901 "45.5797697236"
"159" 1 1 17 0.951 "0"
"160" 2 1 17 0.951 "0"
"161" 1 1 16 0.001 "0.00359792000000027"
"162" 2 1 16 0.001 "0.00390820000000048"
"163" 1 1 16 0.051 "8.46800000003611e-05"
"164" 2 1 16 0.051 "9.41999999996312e-05"
"165" 1 1 16 0.101 "1.53200000002585e-05"
"166" 2 1 16 0.101 "1.83200000002159e-05"
"167" 1 1 16 0.151 "9.7199999994757e-06"
"168" 2 1 16 0.151 "1.18800000004171e-05"
"169" 1 1 16 0.201 "3.76000000038346e-06"
"170" 2 1 16 0.201 "4.9199999992311e-06"
"171" 1 1 16 0.251 "1.2499999990645e-06"
"172" 2 1 16 0.251 "1.32000000107269e-06"
"173" 1 1 16 0.301 "1.32000000078847e-06"
"174" 2 1 16 0.301 "2.12000000161083e-06"
"175" 1 1 16 0.351 "1.00000000102796e-06"
"176" 2 1 16 0.351 "1.00000000102796e-06"
"177" 1 1 16 0.401 "9.999999992516e-07"
"178" 2 1 16 0.401 "1.08333333415089e-06"
"179" 1 1 16 0.451 "1.00000000102796e-06"
"180" 2 1 16 0.451 "1.18181817948033e-06"
"181" 1 1 16 0.501 "1.55999999982726e-06"
"182" 2 1 16 0.501 "3.03999999928806e-06"
"183" 1 1 16 0.551 "1.37999999999749e-05"
"184" 2 1 16 0.551 "2.59599999999693e-05"
"185" 1 1 16 0.601 "0.000870999999999924"
"186" 2 1 16 0.601 "0.00184251999999987"
"187" 1 1 16 0.651 "0.651239"
"188" 2 1 16 0.651 "1.73558508"
"189" 1 1 16 0.701 "4.21248948"
"190" 2 1 16 0.701 "20.237036804"
"191" 1 1 16 0.751 "2.80398184"
"192" 2 1 16 0.751 "29.780454984"
"193" 1 1 16 0.801 "2.82829304"
"194" 2 1 16 0.801 "56.395767972"
"195" 1 1 16 0.851 "0.89791144"
"196" 2 1 16 0.851 "52.650850104"
"197" 1 1 16 0.901 "0.4694696"
"198" 2 1 16 0.901 "47.3939131952"
"199" 1 1 16 0.951 "0"
"200" 2 1 16 0.951 "0"
"201" 1 1 15 0.001 "0.0407018800000004"
"202" 2 1 15 0.001 "0.0437000400000001"
"203" 1 1 15 0.051 "0.0872850800000001"
"204" 2 1 15 0.051 "0.0963833199999996"
"205" 1 1 15 0.101 "0.0060088800000004"
"206" 2 1 15 0.101 "0.00653715999999974"
"207" 1 1 15 0.151 "0.00402876000000006"
"208" 2 1 15 0.151 "0.00464048000000034"
"209" 1 1 15 0.201 "0.0138847999999997"
"210" 2 1 15 0.201 "0.0162931599999995"
"211" 1 1 15 0.251 "0.01524996"
"212" 2 1 15 0.251 "0.0182404800000003"
"213" 1 1 15 0.301 "0.0205108399999997"
"214" 2 1 15 0.301 "0.0250533599999996"
"215" 1 1 15 0.351 "0.0205132799999999"
"216" 2 1 15 0.351 "0.0256778399999996"
"217" 1 1 15 0.401 "0.0284949599999998"
"218" 2 1 15 0.401 "0.03675712"
"219" 1 1 15 0.451 "0.0639021200000001"
"220" 2 1 15 0.451 "0.0856595599999999"
"221" 1 1 15 0.501 "0.08504888"
