"q","b1.min","b1.max","b2.min","b2.max","b3.min","b3.max"
0.004,11.114916,57.195921,1.3032072e-11,11.686284,5.7648141,39.764902
0.004,11.088256,57.195921,1.2828197e-11,11.698131,5.7604461,39.77438
0.004,11.105247,57.195921,1.2962558e-11,11.690653,5.7632236,39.76836
0.004,11.066763,57.195922,1.2660684e-11,11.708169,5.7568497,39.782165
0.004,11.070375,57.195922,1.2690092e-11,11.706071,5.7574892,39.780773
0.004,11.094898,57.195921,1.2878408e-11,11.695211,5.7615385,39.772016
0.004,11.093152,57.195921,1.2862668e-11,11.695887,5.7612361,39.772629
0.004,11.099947,57.195921,1.291558e-11,11.692752,5.7623629,39.770188
0.004,11.091643,57.195921,1.2857567e-11,11.696869,5.7609605,39.773263
0.004,11.114916,57.195921,1.3032072e-11,11.686284,5.7648141,39.764902
0.004,11.088256,57.195921,1.2828197e-11,11.698131,5.7604461,39.77438
0.004,11.105247,57.195921,1.2962558e-11,11.690653,5.7632236,39.76836
0.004,11.066763,57.195921,1.2660684e-11,11.708169,5.7568497,39.782165
0.004,11.070375,57.195922,1.2690092e-11,11.706071,5.7574892,39.780773
0.004,NA,57.195922,NA,NA,NA,NA
0.004,NA,57.195921,NA,NA,NA,NA
0.004,NA,NA,NA,NA,NA,NA
0.004,NA,NA,NA,NA,NA,NA
0.004,NA,NA,NA,NA,NA,NA
0.004,NA,NA,NA,NA,NA,NA
0.004,NA,NA,NA,NA,NA,NA
0.005,11.054618,57.195901,2.3689682e-10,11.702662,5.8010124,39.468372
0.005,11.05395,57.195901,2.3677678e-10,11.703196,5.8008578,39.468676
0.005,11.052935,57.195901,2.3670906e-10,11.703499,5.8007453,39.468887
0.005,11.057716,57.195901,2.3735961e-10,11.701343,5.8015412,39.467181
0.005,11.057425,57.195901,2.3727807e-10,11.701532,5.8014762,39.467322
0.005,11.056843,57.195901,2.3722857e-10,11.701822,5.8013695,39.46756
0.005,11.057139,57.195901,2.3726745e-10,11.701712,5.8014082,39.467487
0.005,11.059368,57.195901,2.3747775e-10,11.700601,5.8017882,39.466704
0.005,11.05958,57.195901,2.3758488e-10,11.700126,5.801868,39.466538
0.005,11.054917,57.195901,2.369453e-10,11.702271,5.8010869,39.46821
0.005,11.051764,57.195901,2.3689682e-10,11.70418,5.8004912,39.469467
0.005,11.054618,57.195901,2.3677678e-10,11.702662,5.8010124,39.468372
0.005,11.05395,57.195901,2.3670906e-10,11.703196,5.8008578,39.468676
0.005,11.052935,57.195901,2.3735961e-10,11.703499,5.8007453,39.468887
0.005,11.057716,57.195901,2.3727807e-10,11.701343,5.8015412,39.467181
0.005,11.057425,57.195901,2.3722857e-10,11.701532,5.8014762,39.467322
0.005,11.056843,57.195901,2.3726745e-10,11.701822,5.8013695,39.46756
0.005,11.057139,57.195901,2.3747775e-10,11.701712,5.8014082,39.467487
0.005,11.059368,57.195901,2.3758488e-10,11.700601,5.8017882,39.466704
0.005,11.05958,57.195901,2.369453e-10,11.700126,5.801868,39.466538
0.005,11.054917,57.195901,NA,11.702271,5.8010869,39.46821
0.005,11.051764,57.195901,NA,11.70418,5.8004912,39.469467
0.005,NA,NA,NA,NA,NA,NA
0.005,NA,NA,NA,NA,NA,NA
0.005,NA,NA,NA,NA,NA,NA
0.006,11.01096,57.195822,2.4547997e-09,11.71155,5.8383314,39.173503
0.006,11.009489,57.195822,2.4533993e-09,11.712146,5.838091,39.174011
0.006,11.008739,57.195822,2.4522502e-09,11.712515,5.8379615,39.174284
0.006,11.00808,57.195822,2.4513834e-09,11.712923,5.8378375,39.174544
0.006,11.003895,57.195822,2.4465634e-09,11.715042,5.8371157,39.176034
0.006,11.005847,57.195822,2.4489195e-09,11.713964,5.8374905,39.175247
0.006,11.005374,57.195822,2.4486298e-09,11.713938,5.8374079,39.175448
0.006,11.006688,57.195822,2.4496866e-09,11.713572,5.8376004,39.175044
0.006,11.006663,57.195822,2.4493959e-09,11.713838,5.837551,39.175132
0.006,11.006582,57.195822,2.4496901e-09,11.713766,5.8375898,39.175018
0.006,11.007647,57.195822,2.4509237e-09,11.713193,5.8377898,39.174606
0.006,11.010135,57.195822,2.4539623e-09,11.712083,5.8382071,39.173721
0.006,11.01096,57.195822,2.4547997e-09,11.71155,5.8383314,39.173503
0.006,11.009489,57.195822,2.4533993e-09,11.712146,5.838091,39.174011
0.006,11.008739,57.195822,2.4522502e-09,11.712515,5.8379615,39.174284
0.006,11.00808,57.195822,2.4513834e-09,11.712923,5.8378375,39.174544
0.006,11.003895,57.195822,2.4465634e-09,11.715042,5.8371157,39.176034
0.006,11.005847,57.195822,2.4489195e-09,11.713964,5.8374905,39.175247
0.006,11.005374,57.195822,2.4486298e-09,11.713938,5.8374079,39.175448
0.006,11.006688,57.195822,2.4496866e-09,11.713572,5.8376004,39.175044
0.006,11.006663,57.195822,2.4493959e-09,11.713838,5.837551,39.175132
0.006,11.006582,57.195822,2.4496901e-09,11.713766,5.8375898,39.175018
0.006,11.007647,NA,2.4509237e-09,11.713193,5.8377898,39.174606
0.006,11.010135,NA,2.4539623e-09,11.712083,5.8382071,39.173721
0.006,NA,NA,NA,NA,NA,NA
0.007,10.963323,57.195582,1.6704054e-08,11.722678,5.8734445,38.887036
0.007,10.963268,57.195582,1.670223e-08,11.722674,5.8734541,38.887032
0.007,10.964048,57.195582,1.6702967e-08,11.722308,5.8735929,38.886748
0.007,10.96387,57.195582,1.6707813e-08,11.722381,5.8735665,38.886806
0.007,10.963085,57.195582,1.6706363e-08,11.722711,5.8734459,38.887069
0.007,10.963242,57.195582,1.6703764e-08,11.722608,5.8734846,38.886999
0.007,10.962563,57.195582,1.6704482e-08,11.722865,5.8733835,38.887222
0.007,10.962952,57.195582,1.6700546e-08,11.722639,5.8734594,38.887072
0.007,10.962753,57.195582,1.6702635e-08,11.722676,5.8734296,38.887135
0.007,10.962533,57.195582,1.6701524e-08,11.722708,5.8733937,38.887208
0.007,10.962845,57.195582,1.6700492e-08,11.722503,5.8734454,38.887096
0.007,10.963611,57.195582,1.6702902e-08,11.72213,5.873575,38.886825
0.007,10.963323,57.195582,1.6707635e-08,11.722678,5.8734445,38.887036
0.007,10.963268,57.195582,1.6704054e-08,11.722674,5.8734541,38.887032
0.007,10.964048,57.195582,1.670223e-08,11.722308,5.8735929,38.886748
0.007,10.96387,57.195582,1.6702967e-08,11.722381,5.8735665,38.886806
0.007,10.963085,57.195582,1.6707813e-08,11.722711,5.8734459,38.887069
0.007,10.963242,57.195582,1.6706363e-08,11.722608,5.8734846,38.886999
0.007,10.962563,57.195582,1.6703764e-08,11.722865,5.8733835,38.887222
0.007,10.962952,57.195582,1.6704482e-08,11.722639,5.8734594,38.887072
0.007,10.962753,57.195582,1.6700546e-08,11.722676,5.8734296,38.887135
0.007,10.962533,57.195582,1.6702635e-08,11.722708,5.8733937,38.887208
0.007,10.962845,57.195582,1.6701524e-08,11.722503,5.8734454,38.887096
0.007,10.963611,57.195582,1.6700492e-08,11.72213,5.873575,38.886825
0.007,NA,57.195582,1.6702902e-08,NA,NA,NA
0.008,10.918586,57.194989,8.3047191e-08,11.731688,5.9078417,38.60568
0.008,10.918292,57.194989,8.3035349e-08,11.732236,5.9077538,38.605874
0.008,10.917917,57.194989,8.303168e-08,11.732076,5.9077372,38.605861
0.008,10.91804,57.194989,8.3020941e-08,11.73241,5.9076768,38.606044
0.008,10.917474,57.194989,8.3012234e-08,11.732363,5.9076606,38.605991
0.008,10.917515,57.194989,8.3008024e-08,11.732558,5.9076086,38.606188
0.008,10.917357,57.194989,8.3010693e-08,11.732464,5.9076377,38.606051
0.008,10.918036,57.194989,8.302582e-08,11.732195,5.9077198,38.605954
0.008,10.917669,57.194989,8.3024841e-08,11.732402,5.9076814,38.605988
0.008,10.917624,57.194989,8.3016736e-08,11.732237,5.9076666,38.606051
0.008,10.917737,57.194989,8.3021781e-08,11.732432,5.907679,38.606012
0.008,10.917576,57.194989,8.3023432e-08,11.73211,5.9076702,38.606027
0.008,10.917916,57.194989,8.3019581e-08,11.732406,5.9076901,38.606004
0.008,10.917945,57.194989,8.3032791e-08,11.732055,5.9077416,38.605854
0.008,10.918586,57.194989,8.3047191e-08,11.731688,5.9078417,38.60568
0.008,10.918292,57.194989,8.3035349e-08,11.732236,5.9077538,38.605874
0.008,10.917917,57.194989,8.303168e-08,11.732076,5.9077372,38.605861
0.008,10.91804,57.194989,8.3020941e-08,11.73241,5.9076768,38.606044
0.008,10.917474,57.194989,8.3012234e-08,11.732363,5.9076606,38.605991
0.008,10.917515,57.194989,8.3008024e-08,11.732558,5.9076086,38.606188
0.008,10.917357,57.194989,8.3010693e-08,11.732464,5.9076377,38.606051
0.008,10.918036,57.194989,8.302582e-08,11.732195,5.9077198,38.605954
0.008,10.917669,57.194989,8.3024841e-08,11.732402,5.9076814,38.605988
0.008,10.917624,57.194989,8.3016736e-08,11.732237,5.9076666,38.606051
0.008,10.917737,57.194989,8.3021781e-08,11.732432,5.907679,38.606012
0.009,10.871198,57.193734,3.2333661e-07,11.742629,5.9404923,38.331162
0.009,10.871471,57.193734,3.2334262e-07,11.742607,5.9404913,38.331146
0.009,10.871466,57.193734,3.2337675e-07,11.742432,5.9405445,38.331045
0.009,10.872026,57.193734,3.2339464e-07,11.742453,5.9405657,38.331008
0.009,10.871416,57.193734,3.2338714e-07,11.742396,5.9405365,38.33105
0.009,10.871744,57.193734,3.2336579e-07,11.742574,5.9405299,38.331088
0.009,10.87126,57.193734,3.2334985e-07,11.742386,5.9405063,38.331094
0.009,10.871399,57.193734,3.2332533e-07,11.742682,5.9404938,38.331166
0.009,10.871128,57.193734,3.2332075e-07,11.742432,5.9404731,38.331134
0.009,10.871278,57.193734,3.2333138e-07,11.74267,5.9404931,38.331167
0.009,10.871344,57.193734,3.2333776e-07,11.742501,5.9404939,38.331108
0.009,10.871139,57.193734,3.2333299e-07,11.742659,5.9404817,38.331183
0.009,10.871521,57.193734,3.2334255e-07,11.742578,5.940501,38.331125
0.009,10.871053,57.193734,3.2333686e-07,11.74261,5.9404729,38.331188
0.009,10.871824,57.193734,3.2335937e-07,11.74256,5.9405291,38.331085
0.009,10.871198,57.193734,3.2333661e-07,11.742629,5.9404923,38.331162
0.009,10.871471,57.193734,3.2334262e-07,11.742607,5.9404913,38.331146
0.009,10.871466,57.193734,3.2337675e-07,11.742432,5.9405445,38.331045
0.009,10.872026,57.193734,3.2339464e-07,11.742453,5.9405657,38.331008
0.009,10.871416,57.193734,3.2338714e-07,11.742396,5.9405365,38.33105
0.009,10.871744,57.193734,3.2336579e-07,11.742574,5.9405299,38.331088
0.009,10.87126,57.193734,3.2334985e-07,11.742386,5.9405063,38.331094
0.009,10.871399,57.193734,3.2332533e-07,11.742682,5.9404938,38.331166
0.009,10.871128,57.193734,3.2332075e-07,11.742432,5.9404731,38.331134
0.009,10.871278,57.193734,3.2333138e-07,11.74267,5.9404931,38.331167
0.01,10.824658,57.191375,1.0394141e-06,11.752834,5.9721262,38.061681
0.01,10.824604,57.191375,1.0393886e-06,11.753062,5.9721415,38.061761
0.01,10.824579,57.191375,1.0394507e-06,11.752724,5.9721371,38.061703
0.01,10.824917,57.191375,1.0394384e-06,11.753008,5.9721355,38.061709
0.01,10.824495,57.191375,1.0393949e-06,11.752916,5.9721281,38.061744
0.01,10.82479,57.191375,1.0394323e-06,11.752939,5.9721379,38.061682
0.01,10.82456,57.191375,1.0394356e-06,11.753012,5.9721481,38.061749
0.01,10.824698,57.191375,1.0394599e-06,11.752723,5.9721524,38.061663
0.01,10.82484,57.191375,1.0394755e-06,11.752992,5.9721424,38.061699
0.01,10.824553,57.191374,1.0394472e-06,11.752801,5.9721698,38.061715
0.01,10.825176,57.191375,1.0394858e-06,11.752888,5.972149,38.061625
0.01,10.824581,57.191375,1.039467e-06,11.752941,5.9721314,38.061725
0.01,10.824697,57.191375,1.0393811e-06,11.75286,5.9721156,38.06167
0.01,10.824508,57.191375,1.0393714e-06,11.753087,5.9721303,38.061786
0.01,10.824538,57.191375,1.0393905e-06,11.752709,5.9721234,38.061717
0.01,10.824774,57.191375,1.039405e-06,11.753055,5.9721262,38.061745
0.01,10.824658,57.191375,1.0394141e-06,11.752834,5.9721415,38.061681
0.01,10.824604,57.191375,1.0393886e-06,11.753062,5.9721371,38.061761
0.01,10.824579,57.191375,1.0394507e-06,11.752724,5.9721355,38.061703
0.01,10.824917,57.191375,1.0394384e-06,11.753008,5.9721281,38.061709
0.01,10.824495,57.191375,1.0393949e-06,11.752916,5.9721379,38.061744
0.01,10.82479,57.191375,1.0394323e-06,11.752939,5.9721481,38.061682
0.01,10.82456,57.191375,1.0394356e-06,11.753012,5.9721524,38.061749
0.01,10.824698,57.191375,1.0394599e-06,11.752723,5.9721424,38.061663
