"q","b1.min","b1.max","b2.min","b2.max","b3.min","b3.max"
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.5,2.1050248,2.1050248,0.19419541,0.19419541,5.8335037,5.8335037
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.6,2.5892378,2.5892378,0.19419541,0.19419541,6.7751175,6.7751175
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.7,3.0835582,3.0835582,0.19419541,0.19419541,7.6092354,7.6092354
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.8,3.5865759,3.5865759,0.19419541,0.19419541,8.3508837,8.3508837
0.9,4.097087,4.097087,0.19419541,0.19419541,9.0128833,9.0128833
0.9,4.097087,4.097087,0.19419541,0.19419541,9.0128833,9.0128833
